;Аурата сетуньская;Мелолонтий западный;Семипунктата Коха;Десятилиньята лепая;Гортикола филоперьевая;Популий грыжомельский
Индия;Сравнительно немного;;;Единицы;Сравнительно немного;
Парагвай;;Очень мало;;Единицы;;
Патагония;;;;Единицы;;Единицы
Эритрея;Сравнительно немного;;;Единицы;;
Россия;Мало;;Очень мало;Мало;Единицы;Единицы
Сибирь;;;;Мало;Много;
Филиппины;;Единицы;;Мало;Очень мало;Очень много
Австралия;Много;Сравнительно немного;;Немного;Единицы;
Вевелония;В огромных количествах;Сравнительно немного;Много;Немного;Сравнительно немного;Сравнительно немного
Пакистан;;Очень мало;Немного;Немного;;Немного
Прерия;;;;Немного;Немного;Немного
Албания;;;;Очень мало;;Единицы
Зимбабве;;;Единицы;Очень мало;Очень мало;Единицы
Уганда;Сравнительно немного;;;Сравнительно немного;Много;
Ямайка;;;Очень много;Сравнительно немного;Очень мало;
Ливан;;Немного;;;В огромных количествах;В огромных количествах
Танзания;В огромных количествах;;;;;Единицы
Япония;Сравнительно немного;Много;Очень много;;;Единицы
Непал;Много;;;;;Мало
Елабуга;;Очень мало;Много;;Много;Много
Кения;В огромных количествах;Единицы;;;Немного;Много
Курдистан;;;;;;Много
Херсонес;;;Мало;;Много;Много
Эфиопия;Сравнительно немного;Единицы;Единицы;;Очень много;Много
Югославия;;;;;Много;Много
Вайоминг;;;;;Немного;Немного
Греция;В огромных количествах;;Немного;;Много;Немного
Танганьика;Сравнительно немного;Много;Очень много;;Очень мало;Очень много
Сингапур;;Много;Сравнительно немного;;Много;Сравнительно немного
Германия;В огромных количествах;;Немного;;;
Камчатка;Мало;;;;Единицы;
Бутан;Много;;;;;
Шри-Ланка;Много;;Мало;;;
Йемен;Сравнительно немного;;Немного;;;
Малайзия;Сравнительно немного;;Мало;;;
Ломбардия;;Мало;;;;
Таруса;;Много;;;;
Тотьма;;Очень много;;;;
Дания;;Сравнительно немного;В огромных количествах;;Сравнительно немного;
